date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-01-2024,Sikkim,2-Wheelers,0,509
01-01-2024,Sikkim,4-Wheelers,0,422
01-02-2024,Sikkim,2-Wheelers,0,408
01-02-2024,Sikkim,4-Wheelers,0,375
01-03-2024,Sikkim,2-Wheelers,0,399
01-03-2024,Sikkim,4-Wheelers,0,455
01-04-2021,Andaman & Nicobar Island,2-Wheelers,0,515
01-04-2021,Arunachal Pradesh,2-Wheelers,0,1256
01-04-2021,Arunachal Pradesh,4-Wheelers,0,724
01-04-2021,Assam,4-Wheelers,0,6576
01-04-2021,Chhattisgarh,4-Wheelers,0,1563
01-04-2021,DNH and DD,4-Wheelers,0,278
01-04-2021,Jammu and Kashmir,4-Wheelers,0,5107
01-04-2021,Ladakh,2-Wheelers,0,2
01-04-2021,Ladakh,4-Wheelers,0,20
01-04-2021,Manipur,4-Wheelers,0,808
01-04-2021,Meghalaya,2-Wheelers,0,1189
01-04-2021,Mizoram,2-Wheelers,0,1507
01-04-2021,Mizoram,4-Wheelers,0,281
01-04-2021,Nagaland,2-Wheelers,0,561
01-04-2021,Nagaland,4-Wheelers,0,747
01-04-2021,Puducherry,4-Wheelers,0,655
01-04-2021,Tripura,2-Wheelers,0,2906
01-04-2021,Tripura,4-Wheelers,0,289
01-05-2021,Andaman & Nicobar Island,2-Wheelers,0,4
01-05-2021,Andaman & Nicobar Island,4-Wheelers,0,1
01-05-2021,Arunachal Pradesh,2-Wheelers,0,552
01-05-2021,Arunachal Pradesh,4-Wheelers,0,302
01-05-2021,Assam,2-Wheelers,0,14723
01-05-2021,Assam,4-Wheelers,0,3295
01-05-2021,Bihar,4-Wheelers,0,2249
01-05-2021,Chandigarh,2-Wheelers,0,411
01-05-2021,Chhattisgarh,4-Wheelers,0,1387
01-05-2021,DNH and DD,2-Wheelers,0,452
01-05-2021,DNH and DD,4-Wheelers,0,202
01-05-2021,Delhi,2-Wheelers,0,22
01-05-2021,Delhi,4-Wheelers,0,21
01-05-2021,Jammu and Kashmir,4-Wheelers,0,2372
01-05-2021,Ladakh,2-Wheelers,0,11
01-05-2021,Ladakh,4-Wheelers,0,70
01-05-2021,Madhya Pradesh,4-Wheelers,0,195
01-05-2021,Manipur,2-Wheelers,0,288
01-05-2021,Manipur,4-Wheelers,0,9
01-05-2021,Meghalaya,2-Wheelers,0,332
01-05-2021,Mizoram,2-Wheelers,0,15
01-05-2021,Mizoram,4-Wheelers,0,4
01-05-2021,Nagaland,2-Wheelers,0,125
01-05-2021,Nagaland,4-Wheelers,0,126
01-05-2021,Odisha,4-Wheelers,0,722
01-05-2021,Punjab,4-Wheelers,0,5202
01-05-2021,Tripura,2-Wheelers,0,2063
01-05-2021,Tripura,4-Wheelers,0,192
01-05-2021,Uttarakhand,4-Wheelers,0,1145
01-06-2021,Andaman & Nicobar Island,2-Wheelers,0,2
01-06-2021,Arunachal Pradesh,2-Wheelers,0,727
01-06-2021,Arunachal Pradesh,4-Wheelers,0,565
01-06-2021,Ladakh,2-Wheelers,0,3
01-06-2021,Ladakh,4-Wheelers,0,112
01-06-2021,Manipur,2-Wheelers,0,89
01-06-2021,Manipur,4-Wheelers,0,18
01-06-2021,Meghalaya,2-Wheelers,0,354
01-06-2021,Meghalaya,4-Wheelers,0,246
01-06-2021,Mizoram,2-Wheelers,0,648
01-06-2021,Mizoram,4-Wheelers,0,298
01-06-2021,Nagaland,2-Wheelers,0,42
01-06-2021,Nagaland,4-Wheelers,0,54
01-06-2021,Puducherry,4-Wheelers,0,445
01-06-2021,Tripura,4-Wheelers,0,185
01-07-2021,Andaman & Nicobar Island,2-Wheelers,0,467
01-07-2021,Arunachal Pradesh,2-Wheelers,0,994
01-07-2021,Arunachal Pradesh,4-Wheelers,0,661
01-07-2021,Assam,4-Wheelers,0,4988
01-07-2021,DNH and DD,4-Wheelers,0,276
01-07-2021,Ladakh,2-Wheelers,0,51
01-07-2021,Ladakh,4-Wheelers,0,552
01-07-2021,Manipur,2-Wheelers,0,474
01-07-2021,Manipur,4-Wheelers,0,68
01-07-2021,Meghalaya,2-Wheelers,0,726
01-07-2021,Mizoram,2-Wheelers,0,1096
01-07-2021,Mizoram,4-Wheelers,0,219
01-07-2021,Nagaland,2-Wheelers,0,583
01-07-2021,Nagaland,4-Wheelers,0,1039
01-07-2021,Puducherry,4-Wheelers,0,866
01-07-2021,Tripura,2-Wheelers,0,2211
01-07-2021,Tripura,4-Wheelers,0,352
01-08-2021,Andaman & Nicobar Island,2-Wheelers,0,406
01-08-2021,Arunachal Pradesh,2-Wheelers,0,1126
01-08-2021,Arunachal Pradesh,4-Wheelers,0,758
01-08-2021,DNH and DD,4-Wheelers,0,321
01-08-2021,Himachal Pradesh,4-Wheelers,0,3641
01-08-2021,Jammu and Kashmir,4-Wheelers,0,5430
01-08-2021,Ladakh,2-Wheelers,0,30
01-08-2021,Ladakh,4-Wheelers,0,459
01-08-2021,Manipur,2-Wheelers,0,1016
01-08-2021,Manipur,4-Wheelers,0,561
01-08-2021,Meghalaya,2-Wheelers,0,1041
01-08-2021,Meghalaya,4-Wheelers,0,826
01-08-2021,Mizoram,2-Wheelers,0,1057
01-08-2021,Mizoram,4-Wheelers,0,240
01-08-2021,Nagaland,2-Wheelers,0,577
01-08-2021,Nagaland,4-Wheelers,0,763
01-08-2021,Tripura,2-Wheelers,0,2462
01-08-2021,Tripura,4-Wheelers,0,462
01-09-2021,Andaman & Nicobar Island,2-Wheelers,0,329
01-09-2021,Andaman & Nicobar Island,4-Wheelers,0,87
01-09-2021,Arunachal Pradesh,2-Wheelers,0,1260
01-09-2021,Arunachal Pradesh,4-Wheelers,0,637
01-09-2021,Assam,4-Wheelers,0,6036
01-09-2021,DNH and DD,4-Wheelers,0,348
01-09-2021,Ladakh,2-Wheelers,0,26
01-09-2021,Ladakh,4-Wheelers,0,444
01-09-2021,Manipur,2-Wheelers,0,3492
01-09-2021,Manipur,4-Wheelers,0,1202
01-09-2021,Meghalaya,2-Wheelers,0,1396
01-09-2021,Meghalaya,4-Wheelers,0,905
01-09-2021,Mizoram,2-Wheelers,0,1465
01-09-2021,Mizoram,4-Wheelers,0,264
01-09-2021,Nagaland,4-Wheelers,0,681
01-09-2021,Tripura,2-Wheelers,0,2736
01-09-2021,Tripura,4-Wheelers,0,403
01-10-2021,Andaman & Nicobar Island,2-Wheelers,0,360
01-10-2021,Arunachal Pradesh,2-Wheelers,0,1109
01-10-2021,Arunachal Pradesh,4-Wheelers,0,570
01-10-2021,Assam,4-Wheelers,0,5877
