date,vehicle_category,maker,electric_vehicles_sold
01-10-2022,4-Wheelers,Hyundai Motor,64
01-10-2022,4-Wheelers,BMW India,4
01-10-2022,4-Wheelers,Mercedes -Benz AG,4
01-10-2022,4-Wheelers,KIA Motors,29
01-10-2023,4-Wheelers,Tata Motors,3911
01-10-2023,4-Wheelers,MG Motor,714
01-10-2023,4-Wheelers,Mahindra & Mahindra,2027
01-10-2023,4-Wheelers,BYD India,109
01-10-2023,4-Wheelers,Hyundai Motor,148
01-10-2023,4-Wheelers,PCA Automobiles,132
01-10-2023,4-Wheelers,BMW India,71
01-10-2023,4-Wheelers,Mercedes -Benz AG,18
01-10-2023,4-Wheelers,Volvo Auto India,41
01-10-2023,4-Wheelers,KIA Motors,39
01-11-2021,4-Wheelers,Tata Motors,1036
01-11-2021,4-Wheelers,MG Motor,118
01-11-2021,4-Wheelers,Mahindra & Mahindra,462
01-11-2021,4-Wheelers,Hyundai Motor,7
01-11-2021,4-Wheelers,Mercedes -Benz AG,2
01-11-2022,4-Wheelers,Tata Motors,2264
01-11-2022,4-Wheelers,MG Motor,464
01-11-2022,4-Wheelers,Mahindra & Mahindra,1067
01-11-2022,4-Wheelers,BYD India,39
01-11-2022,4-Wheelers,Hyundai Motor,59
01-11-2022,4-Wheelers,BMW India,14
01-11-2022,4-Wheelers,Mercedes -Benz AG,4
01-11-2022,4-Wheelers,Volvo Auto India,5
01-11-2022,4-Wheelers,KIA Motors,61
01-11-2023,4-Wheelers,Tata Motors,4432
01-11-2023,4-Wheelers,MG Motor,723
01-11-2023,4-Wheelers,Mahindra & Mahindra,1222
01-11-2023,4-Wheelers,BYD India,106
01-11-2023,4-Wheelers,Hyundai Motor,125
01-11-2023,4-Wheelers,PCA Automobiles,98
01-11-2023,4-Wheelers,BMW India,215
01-11-2023,4-Wheelers,Mercedes -Benz AG,35
01-11-2023,4-Wheelers,Volvo Auto India,57
01-11-2023,4-Wheelers,KIA Motors,29
01-12-2021,4-Wheelers,Tata Motors,1952
01-12-2021,4-Wheelers,MG Motor,99
01-12-2021,4-Wheelers,Mahindra & Mahindra,552
01-12-2021,4-Wheelers,BYD India,1
01-12-2021,4-Wheelers,Hyundai Motor,10
01-12-2021,4-Wheelers,Mercedes -Benz AG,1
01-12-2022,4-Wheelers,Tata Motors,1992
01-12-2022,4-Wheelers,MG Motor,363
01-12-2022,4-Wheelers,Mahindra & Mahindra,1260
01-12-2022,4-Wheelers,BYD India,37
01-12-2022,4-Wheelers,Hyundai Motor,68
01-12-2022,4-Wheelers,BMW India,27
01-12-2022,4-Wheelers,Mercedes -Benz AG,6
01-12-2022,4-Wheelers,Volvo Auto India,16
01-12-2022,4-Wheelers,KIA Motors,65
01-12-2023,4-Wheelers,Tata Motors,4893
01-12-2023,4-Wheelers,MG Motor,753
01-12-2023,4-Wheelers,Mahindra & Mahindra,1015
01-12-2023,4-Wheelers,BYD India,135
01-12-2023,4-Wheelers,Hyundai Motor,97
01-12-2023,4-Wheelers,PCA Automobiles,40
01-12-2023,4-Wheelers,BMW India,137
01-12-2023,4-Wheelers,Mercedes -Benz AG,51
01-12-2023,4-Wheelers,Volvo Auto India,47
01-12-2023,4-Wheelers,KIA Motors,23
01-01-2022,4-Wheelers,Tata Motors,1012
01-01-2022,4-Wheelers,MG Motor,48
01-01-2022,4-Wheelers,Mahindra & Mahindra,474
01-01-2022,4-Wheelers,BYD India,8
01-01-2022,4-Wheelers,Hyundai Motor,6
01-01-2022,4-Wheelers,Mercedes -Benz AG,2
01-01-2023,4-Wheelers,Tata Motors,1812
01-01-2023,4-Wheelers,MG Motor,313
01-01-2023,4-Wheelers,Mahindra & Mahindra,967
01-01-2023,4-Wheelers,BYD India,101
01-01-2023,4-Wheelers,Hyundai Motor,84
01-01-2023,4-Wheelers,BMW India,91
01-01-2023,4-Wheelers,Mercedes -Benz AG,14
01-01-2023,4-Wheelers,Volvo Auto India,21
01-01-2023,4-Wheelers,KIA Motors,35
01-01-2024,4-Wheelers,Tata Motors,5674
01-01-2024,4-Wheelers,MG Motor,908
01-01-2024,4-Wheelers,Mahindra & Mahindra,896
01-01-2024,4-Wheelers,BYD India,123
01-01-2024,4-Wheelers,Hyundai Motor,128
01-01-2024,4-Wheelers,PCA Automobiles,23
01-01-2024,4-Wheelers,BMW India,116
01-01-2024,4-Wheelers,Mercedes -Benz AG,29
01-01-2024,4-Wheelers,Volvo Auto India,42
01-01-2024,4-Wheelers,KIA Motors,29
01-02-2022,4-Wheelers,Tata Motors,1922
01-02-2022,4-Wheelers,MG Motor,30
01-02-2022,4-Wheelers,Mahindra & Mahindra,478
01-02-2022,4-Wheelers,BYD India,10
01-02-2022,4-Wheelers,Hyundai Motor,6
01-02-2022,4-Wheelers,Mercedes -Benz AG,3
01-02-2023,4-Wheelers,Tata Motors,2651
01-02-2023,4-Wheelers,MG Motor,261
01-02-2023,4-Wheelers,Mahindra & Mahindra,1531
01-02-2023,4-Wheelers,BYD India,174
01-02-2023,4-Wheelers,Hyundai Motor,36
01-02-2023,4-Wheelers,BMW India,43
01-02-2023,4-Wheelers,Mercedes -Benz AG,12
01-02-2023,4-Wheelers,Volvo Auto India,26
01-02-2023,4-Wheelers,KIA Motors,22
01-02-2024,4-Wheelers,Tata Motors,5081
01-02-2024,4-Wheelers,MG Motor,829
01-02-2024,4-Wheelers,Mahindra & Mahindra,712
01-02-2024,4-Wheelers,BYD India,135
01-02-2024,4-Wheelers,Hyundai Motor,94
01-02-2024,4-Wheelers,PCA Automobiles,64
01-02-2024,4-Wheelers,BMW India,97
01-02-2024,4-Wheelers,Mercedes -Benz AG,24
01-02-2024,4-Wheelers,Volvo Auto India,35
01-02-2024,4-Wheelers,KIA Motors,17
01-03-2022,4-Wheelers,Tata Motors,2900
01-03-2022,4-Wheelers,MG Motor,75
01-03-2022,4-Wheelers,Mahindra & Mahindra,701
01-03-2022,4-Wheelers,BYD India,14
01-03-2022,4-Wheelers,Hyundai Motor,14
01-03-2022,4-Wheelers,BMW India,7
01-03-2022,4-Wheelers,Mercedes -Benz AG,5
01-03-2022,4-Wheelers,Volvo Auto India,4
01-03-2023,4-Wheelers,Tata Motors,5065
01-03-2023,4-Wheelers,MG Motor,372
01-03-2023,4-Wheelers,Mahindra & Mahindra,2745
01-03-2023,4-Wheelers,BYD India,348
01-03-2023,4-Wheelers,Hyundai Motor,35
01-03-2023,4-Wheelers,PCA Automobiles,151
01-03-2023,4-Wheelers,BMW India,40
01-03-2023,4-Wheelers,Mercedes -Benz AG,10
01-03-2023,4-Wheelers,Volvo Auto India,37
01-03-2023,4-Wheelers,KIA Motors,17
01-03-2024,4-Wheelers,Tata Motors,6606
01-03-2024,4-Wheelers,MG Motor,885
01-03-2024,4-Wheelers,Mahindra & Mahindra,708
01-03-2024,4-Wheelers,BYD India,142
01-03-2024,4-Wheelers,Hyundai Motor,116
01-03-2024,4-Wheelers,PCA Automobiles,130
01-03-2024,4-Wheelers,BMW India,55
01-03-2024,4-Wheelers,Mercedes -Benz AG,31
01-03-2024,4-Wheelers,Volvo Auto India,39
01-03-2024,4-Wheelers,KIA Motors,26
01-04-2021,2-Wheelers,HERO ELECTRIC,759
01-04-2021,2-Wheelers,OKINAWA,1251
01-04-2021,2-Wheelers,AMPERE,751
01-04-2021,2-Wheelers,ATHER,903
01-04-2021,2-Wheelers,PURE EV,581
01-04-2021,2-Wheelers,TVS,302
01-04-2021,2-Wheelers,REVOLT,138
01-04-2021,2-Wheelers,BAJAJ,48
01-04-2021,2-Wheelers,BEING,171
01-04-2021,2-Wheelers,JITENDRA,36
01-04-2021,2-Wheelers,OTHERS,749
01-04-2022,2-Wheelers,OLA ELECTRIC,13601
01-04-2022,2-Wheelers,OKINAWA,11341
01-04-2022,2-Wheelers,HERO ELECTRIC,6803
01-04-2022,2-Wheelers,AMPERE,6864
01-04-2022,2-Wheelers,TVS,1498
01-04-2022,2-Wheelers,ATHER,2451
01-04-2022,2-Wheelers,BAJAJ,1223
01-04-2022,2-Wheelers,REVOLT,1241
01-04-2022,2-Wheelers,PURE EV,1756
01-04-2022,2-Wheelers,BEING,874
01-04-2022,2-Wheelers,JITENDRA,940
01-04-2022,2-Wheelers,OTHERS,4683
01-04-2023,2-Wheelers,OLA ELECTRIC,22548
01-04-2023,2-Wheelers,TVS,8654
01-04-2023,2-Wheelers,ATHER,7707
01-04-2023,2-Wheelers,BAJAJ,4043
01-04-2023,2-Wheelers,AMPERE,8767
01-04-2023,2-Wheelers,OKINAWA,3179
01-04-2023,2-Wheelers,HERO ELECTRIC,3293
01-04-2023,2-Wheelers,OKAYA EV,1544
01-04-2023,2-Wheelers,BGAUSS,762
01-04-2023,2-Wheelers,BATTRE ELECTRIC,644
01-04-2023,2-Wheelers,KINETIC GREEN,838
01-04-2023,2-Wheelers,REVOLT,520
01-04-2023,2-Wheelers,OTHERS,4315
01-05-2021,2-Wheelers,HERO ELECTRIC,170
01-05-2021,2-Wheelers,OKINAWA,245
01-05-2021,2-Wheelers,AMPERE,147
01-05-2021,2-Wheelers,ATHER,160
01-05-2021,2-Wheelers,PURE EV,122
01-05-2021,2-Wheelers,TVS,9
01-05-2021,2-Wheelers,REVOLT,42
01-05-2021,2-Wheelers,BAJAJ,20
01-05-2021,2-Wheelers,BEING,54
01-05-2021,2-Wheelers,JITENDRA,13
01-05-2021,2-Wheelers,OTHERS,260
01-05-2022,2-Wheelers,OLA ELECTRIC,9266
01-05-2022,2-Wheelers,OKINAWA,10340
01-05-2022,2-Wheelers,HERO ELECTRIC,2970
01-05-2022,2-Wheelers,AMPERE,6176
01-05-2022,2-Wheelers,TVS,478
01-05-2022,2-Wheelers,ATHER,3337
01-05-2022,2-Wheelers,BAJAJ,1812
01-05-2022,2-Wheelers,OKAYA EV,19
01-05-2022,2-Wheelers,REVOLT,1589
01-05-2022,2-Wheelers,PURE EV,1464
01-05-2022,2-Wheelers,BEING,862
01-05-2022,2-Wheelers,JITENDRA,646
01-05-2022,2-Wheelers,OTHERS,3455
01-05-2023,2-Wheelers,OLA ELECTRIC,29447
01-05-2023,2-Wheelers,TVS,20188
01-05-2023,2-Wheelers,ATHER,15243
01-05-2023,2-Wheelers,BAJAJ,9976
01-05-2023,2-Wheelers,AMPERE,10659
01-05-2023,2-Wheelers,OKINAWA,2873
01-05-2023,2-Wheelers,HERO ELECTRIC,2085
01-05-2023,2-Wheelers,OKAYA EV,3831
01-05-2023,2-Wheelers,BGAUSS,1792
01-05-2023,2-Wheelers,BATTRE ELECTRIC,1185
01-05-2023,2-Wheelers,KINETIC GREEN,886
01-05-2023,2-Wheelers,REVOLT,565
01-05-2023,2-Wheelers,OTHERS,6627
01-06-2021,2-Wheelers,HERO ELECTRIC,1355
01-06-2021,2-Wheelers,OKINAWA,984
01-06-2021,2-Wheelers,AMPERE,299
01-06-2021,2-Wheelers,ATHER,320
01-06-2021,2-Wheelers,PURE EV,460
01-06-2021,2-Wheelers,TVS,208
01-06-2021,2-Wheelers,REVOLT,59
01-06-2021,2-Wheelers,BAJAJ,176
01-06-2021,2-Wheelers,BEING,198
01-06-2021,2-Wheelers,JITENDRA,43
01-06-2021,2-Wheelers,OTHERS,567
01-06-2022,2-Wheelers,OLA ELECTRIC,5897
01-06-2022,2-Wheelers,OKINAWA,7554
01-06-2022,2-Wheelers,HERO ELECTRIC,6836
01-06-2022,2-Wheelers,AMPERE,6919
01-06-2022,2-Wheelers,TVS,1983
01-06-2022,2-Wheelers,ATHER,3829
01-06-2022,2-Wheelers,BAJAJ,1824
01-06-2022,2-Wheelers,OKAYA EV,760
01-06-2022,2-Wheelers,REVOLT,2423
01-06-2022,2-Wheelers,PURE EV,1125
01-06-2022,2-Wheelers,BEING,1005
01-06-2022,2-Wheelers,JITENDRA,568
